Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
Ring,Energy Efficiency,"Energy Efficiency,Smart Buildings,Smart Home",Developer of an internet connected video capable doorbell for smart homes,United States,North America,2014/12/05,4Q14,"$4,500,000",Series A,"$4,500,000",No,Upfront Ventures,Queensbridge Venture Partners,First Round Capital,True Ventures,Steve Russell,,,,,,,,
California Safe Soil,Agriculture & Food,"Agricultural Waste,Agriculture & Food,Hardware,Livestock,Waste Management","Developer of an aerobic, en1zymatic digestion technology for the production of high-grade fertilizer from organic waste",United States,North America,2014/09/16,3Q14,"$634,000",Series A,"$4,167,650",No,,,,,,,,,,,,,
Instream Energy Systems,Hydro & Marine Power,"Hardware,Hydro & Marine Power,Run of River Hydro,Small Scale Hydro",Developer of hydrokinetic power generation systems for predictable inland waterways,Canada,North America,2014/02/11,1Q14,"$628,750",Series A,"$3,107,815",No,,,,,,,,,,,,,
Aequor,Other Cleantech,"Advanced Materials,Agriculture & Food,Chemicals,Consumer Products,Hardware,Other Cleantech,Personal Care,Water & Wastewater",Developer of antibiofilm and antifouling technologies,United States,North America,2014/04/01,2Q14,"$626,000",Seed,"$626,000",No,,,,,,,,,,,,,
CarbonOrO,Air,"Air,Anaerobic Digestion,Biomass Generation,Carbon Capture and Sequestration (CCS),Carbon Dioxide (CO2),Cellulosic Biomass,Hardware,Industrial Plants,Industrial Waste,Municipal Solid Waste,Pollution Cleanup,Power Plants",Developer of carbon capture and biogas upgrading technologies,Netherlands,Europe & Israel,2014/05/28,2Q14,"$600,000",Series A,"$600,000",No,,,,,,,,,,,,,
RoboFlight,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Precision Agriculture,UAV",Developer of analytic tools for remote sensing data from UAV and aerieal systems,United States,North America,2014/12/08,4Q14,"$600,000",Seed,"$600,000",No,,,,,,,,,,,,,
Celtic Renewables,Biofuels & Biochemicals,"Biochemicals,Biofuel Conversion,Biofuels & Biochemicals,Biological Conversion,Butanol,Drop-in Fuels,Ethanol,Fermentation,Hardware,Industrial Biotech,Industrial Waste,Recycling & Waste",Developer of biobutanol production processes using byproducts from the distillation of whisky as an initial feedstock,United Kingdom,Europe & Israel,2014/06/26,2Q14,"$600,000",Growth Equity,"$1,478,225",No,,,,,,,,,,,,,
PurposeEnergy,Water & Wastewater,"Anaerobic Digestion,Biochemical Process,Organic Waste,Process Development,Recycling & Waste,Waste to Energy,Water & Wastewater","Developer of turn-key, industrial scale wastewater recovery and energy systems for food and beverage producers",United States,North America,2014/01/13,1Q14,"$600,000",Growth Equity,"$4,222,045",Yes,PC Construction,,,,,,,,,,,,
Roost,Energy Efficiency,"Energy Efficiency,Hardware,Smart Buildings,Smart Home,Software",Stealth-mode developer of smart home tech,United States,North America,2014/10/03,4Q14,"$975,000",Seed,"$975,000",Yes,Jason Krikorian,DCM Ventures,Legend Holdings,,,,,,,,,,
Utility Composite Solutions International,Advanced Materials,"Advanced Materials,Composites,Hardware",Maker of composite utility distribution poles,United States,North America,2014/04/23,2Q14,"$600,000",Series A,"$600,000",No,Composite Technology Investors,,,,,,,,,,,,
California Safe Soil,Agriculture & Food,"Agricultural Waste,Agriculture & Food,Hardware,Livestock,Waste Management","Developer of an aerobic, en1zymatic digestion technology for the production of high-grade fertilizer from organic waste",United States,North America,2014/04/22,2Q14,"$597,000",Series A,"$4,167,650",No,,,,,,,,,,,,,
BetterSweet Drinks Inc.,Agriculture & Food,Agriculture & Food,beverage company that makes our drinks using tree waters harvested from organic certified maple forests in Vermont,United States,North America,2014/02/28,1Q14,"$595,000",Seed,"$595,000",No,,,,,,,,,,,,,
Applied Cavitation,Advanced Materials,"Advanced Materials,Nanomaterials",Developer of nanotechnologies,United States,North America,2014/07/17,3Q14,"$587,000",Seed,"$1,290,800",No,,,,,,,,,,,,,
Earth Equity Farms,Agriculture & Food,"Agriculture & Food,Crops,Greenhouses,Indoor Cultivation Systems",Operator of sustainable organic and fair trade greenhouse farms,United States,North America,2014/02/07,1Q14,"$555,000",Seed,"$555,000",No,,,,,,,,,,,,,
Underground Power,Transportation,"Distributed Generation,Energy Efficiency,Grid Integration,Hardware,Smart Grid,Transportation",Designer of a  kinetic energy harvesting speed bump,Italy,Europe & Israel,2014/01/27,1Q14,"$544,000",Series A,"$1,558,600",No,Undisclosed,,,,,,,,,,,,
Dukosi,Energy Efficiency,"Advanced Materials,Efficient Electronics,Energy Efficiency,Semiconductors","Developer and manufacturer of chips for wireless, power management and battery management applications",United Kingdom,Europe & Israel,2014/03/05,1Q14,"$535,300",Growth Equity,"$535,300",No,Scottish Investment Bank,Par Equity,,,,,,,,,,,
Phytelligence,Agriculture & Food,"Agriculture & Food,Crops,Industrial Biotech,Plant Genomics,Precision Agriculture,Services",Provider of plant genetics services and plantlets with improved yield and resiliency characteristics,United States,North America,2014/04/09,2Q14,"$510,000",Series A,"$510,000",No,,,,,,,,,,,,,
Clear Blue Technologies,Other Cleantech,"Downstream PV,Energy Storage,Energy Storage System Management / Optimization,Internet of Things,Operation & Maintenance (O&M),Other Cleantech,Photovoltaics (PV),Software,Solar,Wind","Developer of a communications, data harvesting, and remote control cloud platform to support Off-Grid renewable generation",Canada,North America,2014/06/18,2Q14,"$500,000",Seed,"$500,000",Yes,Grenville Strategic Royalties,Ontario Centres of Excellence,,,,,,,,,,,
EnVironmental Transportation Solutions,Transportation,"Electric Vehicles,Passenger Car,Transportation",Manufacturer of city based electric vehices for fleets and private users,United States,North America,2014/09/13,3Q14,"$500,000",Growth Equity,"$500,000",No,,,,,,,,,,,,,
Saltworks Technologies,Water & Wastewater,"Conventional Fuels,Desalination,Global Cleantech 100 (2012),Industrial Water,Membrane Water Treatment,Oil & Gas,Services,Water & Wastewater,Water Technology Vendor","Advanced water treatment solutions provider that designs, manufactures, and assembles systems for demanding desalination, brine management and chemical recovery applications",Canada,North America,2014/12/16,4Q14,,Growth Equity,"$3,000,000",Yes,BP Ventures,,,,,,,,,,,,
NOHMs Technologies,Energy Storage,"Advanced Materials,Batteries,Cathodes,Consumer Electronics Energy Storage,Electrochemical Storage,Energy Storage,Hardware,Lithium-Based Batteries,Vehicle Energy Storage",Developer of nanoscale chemistry to create high-energy battery materials,United States,North America,2014/02/28,1Q14,"$500,000",Series A,"$560,000",No,,,,,,,,,,,,,
RYNO Motors,Transportation,"Hardware,Transportation",Designer and manufacturer of one-wheeled electric motorcycles,United States,North America,2014/01/07,1Q14,"$500,000",Series B,"$1,750,000",No,,,,,,,,,,,,,
Silicium Energy,Advanced Materials,"Advanced Materials,Energy Efficiency,Fullerenes,Hardware,Industrial Efficiency,Nanomaterials,Silicon Nanotubes,Waste Heat Recovery","Developer of thermoelectric material using silicon-based nanowires for applications like power converters, inverters, solar cells and cooling systems.",United States,North America,2014/04/03,2Q14,"$500,000",Series A,"$2,150,000",No,Khosla Ventures,,,,,,,,,,,,
Surya PowerMagic,Solar,"Agriculture & Food,Crops,Hardware,Precision Agriculture,Smart Irrigation,Solar",Manufacturer of solar power solutions for agricultural water pumps,India,Asia Pacific,2014/06/20,2Q14,"$500,000",Seed,"$500,000",No,Indian Fund for Sustainable Energy (INFUSE) Ventures,Intellecap Impact Investment Network,,,,,,,,,,,
Vadxx Energy,Recycling & Waste,"Biocrude,Biofuel Production,Process Development,Recycling & Waste,Rubber,Thermochemical Process,Waste to Energy",Provider of diesel additive via Plastic to Energy plants,United States,North America,2014/04/14,2Q14,"$500,000",Series A,"$5,000,000",No,,,,,,,,,,,,,
Opus One Solutions,Smart Grid,"Distribution Automation,Grid Optimization,Hardware,Power Grid,Smart Grid,Software,Volt/VAR Optimization","Developer of real time control and optimization solutions for electric system energy resources, including generation, storage, and electric vehicle resources.",Canada,North America,2014/03/21,1Q14,"$492,535",Seed,"$5,810,135",No,Ontario Ministry of Energy,,,,,,,,,,,,
Energy Wall,Energy Efficiency,"Building Envelope,Commercial Buildings,Efficient Drywall & Insulation,Energy Efficiency,Hardware,Smart Buildings",Developer and manufacturer of a new generation of high efficiency Energy Recovery Ventilator products,United States,North America,2014/08/14,3Q14,"$485,000",Seed,"$485,000",No,,,,,,,,,,,,,
Sample6,Agriculture & Food,"Agriculture & Food,Food Safety",Developer of pathogen detection and control systems for food safety applications,United States,North America,2014/11/18,4Q14,"$2,500,000",Series B,"$13,500,000",No,Tim Wu,,,,,,,,,,,,
Scoot Networks,Transportation,"Car Sharing,Cleanweb,Hardware,Scooter,Transportation",Provider of on-demand electric vehicle networks,United States,North America,2014/01/31,1Q14,"$455,000",Seed,"$2,255,000",No,,,,,,,,,,,,,
BioGreenChoice,Recycling & Waste,"Advanced Materials,Consumer Products,Household and Workplace Products,Manufacturing,Packaging & Paper,Recycling,Recycling & Waste,Reprocessing,Reprocessing Technologies",Manufacturer of biodegradable and compostable food service packaging and disposable products,United States,North America,2014/01/01,1Q14,"$450,000",Series B,"$450,000",No,,,,,,,,,,,,,
Renovagen,Solar,"Hardware,Solar",Provider of off-grid and self-sufficient applications to ensure off-grid parity of renewable energy systems,United Kingdom,Europe & Israel,2014/08/28,3Q14,"$436,000",Seed,"$436,000",No,CrowdCube,,,,,,,,,,,,
NewWind R&D,Wind,"Hardware,Wind","Developer of a micro-scale, tree-shaped wind power generator ",France,Europe & Israel,2014/05/26,2Q14,"$435,000",Series B,"$930,000",No,Hoffsfield Finance Limited,,,,,,,,,,,,
Underground Power,Transportation,"Distributed Generation,Energy Efficiency,Grid Integration,Hardware,Smart Grid,Transportation",Designer of a  kinetic energy harvesting speed bump,Italy,Europe & Israel,2014/03/31,1Q14,"$424,000",Series A,"$1,558,600",No,Undisclosed,,,,,,,,,,,,
LogiFuel,Conventional Fuels,"Conventional Fuels,Fleet Tracking,Logistics Provider,Oil & Gas,Software,Transportation,Transportation Software",Developer of diesel fuel management systems for equipment operators,United States,North America,2014/09/15,3Q14,"$422,538",Seed,"$422,538",No,,,,,,,,,,,,,
ISI Technology,Water & Wastewater,"Commercial Buildings,Efficient Devices,Efficient Heating & Cooling,Efficient Motors & Equipment,Energy Efficiency,Hardware,Industrial Efficiency,Residential/Commercial Water,Smart Buildings,Water & Wastewater,Water Conservation,Water Technology Vendor",Developer of tankless electric water heaters,United States,North America,2014/02/16,1Q14,"$416,000",Seed,"$3,446,000",No,Kickstarter,,,,,,,,,,,,
Mobility Tech Green,Transportation,"Car Sharing,Transportation,Transportation Software",Developer of technologies to facilitate the management of a fleet of vehicles in car sharing,France,Europe & Israel,2014/02/24,1Q14,"$412,000",Series B,"$412,000",Yes,Nestadio Capital,SEPAMAT,,,,,,,,,,,
Shanghai Molway Science and Technology,Water & Wastewater,"Services,Water & Wastewater,Water-Related Service Provider",Provider of water and wastewater treatment services,China,Asia Pacific,2014/02/20,1Q14,"$410,000",Growth Equity,"$410,000",No,Guizhou Science & Technology Venture Capital,,,,,,,,,,,,
Ennesys,Biofuels & Biochemicals,"Algae,Biofuels & Biochemicals,Feedstock Producer,Industrial Biotech,Oils,Vegetable Oils","Developer of phytoplankton growth and extraction units for residential, industrial and energy generation purposes",France,Europe & Israel,2014/01/21,1Q14,"$406,000",Seed,"$406,000",No,WiSEED,,,,,,,,,,,,
Eon Motors,Transportation,"Electric Vehicles,Transportation",Developer and manufacturer of electric cars,France,Europe & Israel,2014/02/04,1Q14,"$405,400",Growth Equity,"$405,400",Yes,EDF Energies Nouvelles,,,,,,,,,,,,
Rachio,Water & Wastewater,"Energy Efficiency,Hardware,Smart Irrigation,Software,Water & Wastewater",Provider of WiFi-enabled sprinkler controllers for residential lawns,United States,North America,2014/06/09,2Q14,"$405,000",Seed,"$2,920,000",No,,,,,,,,,,,,,
MY ECO,Recycling & Waste,"Plastics,Recycling,Recycling & Waste,Social Network,Software,Web-Based Recycling",Developer of a sustainability network that uses technology and psychology to measure and increase consumer reuse behavior,United States,North America,2014/01/02,1Q14,"$400,000",Seed,"$1,400,000",No,,,,,,,,,,,,,
Oxymem,Water & Wastewater,"Hardware,Wastewater Treatment,Water & Wastewater,Water Technology Vendor","Manufacturer of the Membrane Aerated Biofilm Reactor (MABR), a technology based on bubble-less wastewater aeration system",Ireland,Europe & Israel,2014/08/12,3Q14,"$400,000",Series A,"$1,811,000",Yes,Shamrock,,,,,,,,,,,,
Oxymem,Water & Wastewater,"Hardware,Wastewater Treatment,Water & Wastewater,Water Technology Vendor","Manufacturer of the Membrane Aerated Biofilm Reactor (MABR), a technology based on bubble-less wastewater aeration system",Ireland,Europe & Israel,2014/08/01,3Q14,"$400,000",Series A,"$1,811,000",No,Kellysan Enterprises,,,,,,,,,,,,
Transfercar,Transportation,"Logistics Provider,Software,Transportation",Operator of an online platform enabling the free transfer of rental cars from one fleet location to another,New Zealand,Asia Pacific,2014/04/12,2Q14,"$390,000",Seed,"$511,000",No,Dennis Round,,,,,,,,,,,,
Kerdea Technologies,Air,"Air,Engine / Motor Sensors,Hardware,Internet of Things,Transportation,Vehicle Components","Developer of low-power, MEMS sensors to improve fuel economy and reduce engine emissions",United States,North America,2014/01/06,1Q14,"$383,468",Series A,"$1,655,893",No,,,,,,,,,,,,,
Plastiblok,Advanced Materials,"Advanced Materials,Hardware",Developer of plastic structural materials as replacements for concrete blocks,United States,North America,2014/03/13,1Q14,"$380,000",Seed,"$380,000",No,,,,,,,,,,,,,
Equal Earth,Solar,"Commercial Scale,Downstream PV,Ground-Mounted PV,Photovoltaics (PV),Project Development,Residential Scale,Rooftop PV,Services,Solar,Systems Integration",Provider of solar PV project development services for residential and commercial scale installations,United States,North America,2014/03/13,1Q14,"$379,000",Series B,"$2,137,072",No,,,,,,,,,,,,,
Universal Power,Other Cleantech,"Downstream PV,Onshore Wind,Other Cleantech,Photovoltaics (PV),Project Development,Solar,Wind","Independent power producer operating outside the united states in solar, wind, and hybrid fossil fuel-based generation",United States,North America,2014/04/17,2Q14,"$378,000",Growth Equity,"$478,000",No,,,,,,,,,,,,,
Advanced Battery Concepts,Advanced Materials,"Advanced Materials,Anodes,Cathodes,Electrochemical Storage,Energy Storage",Developer of bi-polar battery electrode technology,United States,North America,2014/03/05,1Q14,"$375,000",Growth Equity,"$375,000",No,,,,,,,,,,,,,
Blue Planet Hydrogen,Transportation,"Engine Conversion,Fuel Cells & Hydrogen,Hardware,Hydrogen,Internal Combustion,Transportation",Producer of hydrogen engines for material handling and stationary applications,Belgium,Europe & Israel,2014/05/23,2Q14,"$372,744",Seed,"$534,750",No,Founders Capital,,,,,,,,,,,,
California Safe Soil,Agriculture & Food,"Agricultural Waste,Agriculture & Food,Hardware,Livestock,Waste Management","Developer of an aerobic, en1zymatic digestion technology for the production of high-grade fertilizer from organic waste",United States,North America,2014/07/17,3Q14,"$361,650",Series A,"$4,167,650",No,,,,,,,,,,,,,
Agora Energy,Energy Efficiency,"Energy Efficiency,Hardware,Software","Provider of energy management, smart metering and waste management services",France,Europe & Israel,2014/03/19,1Q14,"$358,670",Seed,"$358,670",No,Region Ile-de-France,,,,,,,,,,,,
Solar Capture Technologies,Solar,Solar,"Manufacturer of custom solar modules, cells and systems",United Kingdom,Europe & Israel,2014/06/26,2Q14,"$343,000",Growth Equity,"$343,000",No,NorthStar Ventures,,,,,,,,,,,,
Noble Environmental Technologies (ECOR),Recycling & Waste,"Advanced Materials,Agricultural Waste,Consumer Products,Fibers,Framing,Green Building & Construction,Insulation,Paper,Recycling,Recycling & Waste,Reprocessing,Textiles",Manufacturer of ECOR molded fiber products from recycled by-products of forestry  & agricultural industries and recycled paper products,United States,North America,2014/06/20,2Q14,"$325,000",Growth Equity,"$9,100,000",No,,,,,,,,,,,,,
Seeo,Energy Storage,"Batteries,C&I Power Reliability,Electric Vehicles,Electrochemical Storage,Energy Storage,Global Cleantech 100 (2011),Grid Energy Storage,Lithium-Based Batteries,Plug-in Hybrid,Power Grid,Renewables Integration,Vehicle Energy Storage",Developer of solid-state lithium-ion batteries to increase lifetime and safety,United States,North America,2014/12/09,4Q14,"$17,000,000",Growth Equity,"$43,700,000",Yes,Samsung Ventures,GSR Ventures,Khosla Ventures,,,,,,,,,,
American Graphene,Advanced Materials,"Advanced Materials,Energy Storage,Graphene,Hardware,Nanomaterials",Developer of graphene materials for energy storage applications,United States,North America,2014/03/21,1Q14,"$300,000",Series A,"$300,000",No,,,,,,,,,,,,,
Bractlet,Energy Efficiency,"Building Energy Management Systems,Cleanweb,Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Hardware,Smart Buildings,Software",Developer of energy analytics platform for hotels and buildings,United States,North America,2014/05/07,2Q14,"$300,000",Series A,"$340,000",No,,,,,,,,,,,,,
Green Spirit Farms,Agriculture & Food,"Agriculture & Food,Crops,Indoor Cultivation Systems,Vertical Farming",Organic farm employing vertical farming practices,United States,North America,2014/03/20,1Q14,"$300,000",Seed,"$300,000",No,,,,,,,,,,,,,
High Performance SmarteBuilding,Energy Efficiency,"Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Smart Buildings","Provider of real-time energy monitoring and feedback to commercial, government, and educational buildings",United States,North America,2014/04/14,2Q14,"$300,000",Series A,"$735,000",No,,,,,,,,,,,,,
Kitchfix,Agriculture & Food,"Agriculture & Food,Services",Provider of healthy meal delivery services in the Chicago area,United States,North America,2014/06/11,2Q14,"$300,000",Seed,"$300,000",No,Ken Leonard,,,,,,,,,,,,
NTS Energie- und Transportsysteme,Wind,"Hardware,High-Altitude Wind,Wind",Developer of a patented wind power plant to harness the strong winds at 200 to 500m and produce energy at production costs below fossil fuels,Germany,Europe & Israel,2014/04/01,2Q14,"$300,000",Series A,"$3,350,000",No,Other Private Investors,,,,,,,,,,,,
Powerhouse Dynamics,Energy Efficiency,"Cleanweb,Energy Analytics,Energy Efficiency,HAN,Home Automation,In-Home Displays,Industrial Efficiency,Smart Buildings,Smart Grid,Smart Home,Software",Developer of cloud-based energy efficiency controls and analytics,United States,North America,2014/06/24,2Q14,"$300,000",Series B,"$11,200,000",No,Massachusetts Clean Energy Center (MassCEC),,,,,,,,,,,,
QD Solar,Solar,"Hardware,Midstream PV,PV Cells / Modules,Photovoltaics (PV),Solar",Developer of technology combining efficient silicon solar cells with infrared solar cells in a hybrid architecture to harvest more of the solar spectrum than silicon alone,Canada,North America,2014/07/03,3Q14,"$300,000",Seed,"$300,000",No,,,,,,,,,,,,,
Endurance Wind Power,Wind,"Conventional Horizontal,Hardware,Horizontal Axis Wind Turbine,Onshore Wind,Small-Scale Wind,Turbine / Component Manufacturing,Wind",Manufacturer of advanced wind turbines designed specifically for distributed wind power applications,Canada,North America,2014/01/02,1Q14,"$292,000",Growth Equity,"$3,604,538",No,,,,,,,,,,,,,
HoneyComb,Agriculture & Food,"Agriculture & Food,Crops,Hardware,Precision Agriculture,Software,UAV",Developer of a drone for farming as well as related software,United States,North America,2014/09/08,3Q14,"$290,000",Series A,"$495,000",No,,,,,,,,,,,,,
Sensible Organics,Advanced Materials,"Advanced Materials,Consumer Products",Developer of organic consumer products ,United States,North America,2014/10/09,4Q14,,Growth Equity,,No,Renewal Funds,,,,,,,,,,,,
OndaVia,Water & Wastewater,"Contaminant Detection,Hardware,Industrial Water,Municipal/Utility Water,Oil & Gas,Smart Water,Water & Wastewater,Water Technology Vendor",Producer of water contaminant analysis devices using proprietary technology,United States,North America,2014/06/06,2Q14,"$275,000",Seed,"$940,111",No,Band of Angels,Crowdfunder,,,,,,,,,,,
Seventh Generation,Other Cleantech,"Advanced Materials,Consumer Products,Other Cleantech","Developer of non-toxic and renewable bio-based household, baby and personal care solutions",United States,North America,2014/10/06,4Q14,"$30,000,000",Growth Equity,"$30,000,000",No,Generation Investment Management,,,,,,,,,,,,
NextStep Electric,Smart Grid,"Hardware,Power Grid,Smart Grid",Developer of products to allow utilities to use existing infrastructure for renewable energy deployment,United States,North America,2014/09/30,3Q14,"$270,000",Seed,"$270,000",No,,,,,,,,,,,,,
ULEMCo,Transportation,"Fuel Cell Vehicles,Hardware,Industrial Trucks & Equipment,Transportation",Developer of a hydrogen diesel combustion technology used in commercial vehicles,United Kingdom,Europe & Israel,2014/07/03,3Q14,"$257,000",Series A,"$257,000",No,350 Investment Partners,,,,,,,,,,,,
SheerWind,Wind,"Hardware,Turbine / Component Manufacturing,Wind","SheerWind is changing the course of power generation by offering affordable wind power to anyone, anywhere.",United States,North America,2014/06/30,2Q14,"$256,252",Seed,"$2,791,605",No,,,,,,,,,,,,,
Levant Power,Transportation,"Hardware,Transportation",Developer of an energy-recovering shock absorber for large vehicles and hybrid gas-electric cars,United States,North America,2014/01/07,1Q14,"$250,000",Series B,"$10,040,000",No,,,,,,,,,,,,,
NanoVapor,Conventional Fuels,"Air,Conventional Fuels,Oil & Gas,Refining,Services,Volatile Organic Compounds (VOC)",Developer of VOC adsorption technologies ,United States,North America,2014/09/18,3Q14,"$250,000",Seed,"$637,500",No,,,,,,,,,,,,,
Shift Technologies,Transportation,"Marketplace,Software,Transportation",Developer of an app and web portal for used car purchasing,United States,North America,2014/11/18,4Q14,"$23,800,000",Series A,"$23,800,000",No,Draper Fisher Jurvetson (DFJ),Highland Capital Partners,Great Oaks Venture Capital,SV Angel,Lars Rasmussen,Hans Robertson,Jim McKelvey,Chris Barton,,,,,
Silatronix,Advanced Materials,"Advanced Materials,Electrochemical Storage,Energy Storage",Developer of organosilicon (OS) materials for energy storage applications including lithium-ion battery electrolytes,United States,North America,2014/11/05,4Q14,"$813,000",Series A,"$4,653,000",No,,,,,,,,,,,,,
PowWow Energy,Agriculture & Food,"Agriculture & Food,Software,Water & Wastewater",Developer and provider of a web-based application that analyzes energy data to detect leaks in irrigation systems,United States,North America,2014/01/22,1Q14,"$250,000",Seed,"$250,000",No,,,,,,,,,,,,,
Smith Electric Vehicles (USA),Transportation,"Electric Vehicles,Hardware,Heavy-Duty Truck,Transportation",Designer and manufacturer of commercial electric delivery vehicles,United States,North America,2014/10/03,4Q14,"$11,100,000",Growth Equity,"$145,225,040",No,,,,,,,,,,,,,
Socar,Transportation,"Car Rental,Services,Transportation",Provider of car rental services,Korea Republic,Asia Pacific,2014/10/14,4Q14,"$18,000,000",Series A,"$18,000,000",No,Bain Capital,,,,,,,,,,,,
Engineered Carbon Solutions,Conventional Fuels,"Conventional Fuels,Hardware",Maker of hybrid coal/biomass heating pellets,United States,North America,2014/01/08,1Q14,"$225,000",Seed,"$375,000",No,,,,,,,,,,,,,
Ephesus Technologies,Energy Efficiency,"Commercial Buildings,Energy Efficiency,Hardware,Lighting,Smart Buildings",Developer of LED lighting fixtures,United States,North America,2014/02/24,1Q14,"$225,000",Series A,"$1,150,000",No,,,,,,,,,,,,,
Driptech,Agriculture & Food,"Agriculture & Food,Crops,Global Cleantech 100 (2012),Hardware,Precision Agriculture,Smart Irrigation",Developer and manufacturer of micro-irrigation systems for small plot farmers in developing countries,United States,North America,2014/05/20,2Q14,"$224,500",Growth Equity,"$8,922,927",No,,,,,,,,,,,,,
Endurance Wind Power,Wind,"Conventional Horizontal,Hardware,Horizontal Axis Wind Turbine,Onshore Wind,Small-Scale Wind,Turbine / Component Manufacturing,Wind",Manufacturer of advanced wind turbines designed specifically for distributed wind power applications,Canada,North America,2014/02/21,1Q14,"$220,000",Growth Equity,"$3,604,538",No,,,,,,,,,,,,,
Savosolar,Solar,"Hardware,Solar,Solar Thermal","Developer of high efficiency flat plate, solar thermal collectors for OEM partners",Finland,Europe & Israel,2014/07/01,3Q14,"$204,000",Growth Equity,"$1,020,000",No,Cleantech Invest,,,,,,,,,,,,
tado,Energy Efficiency,"Cleanweb,Energy Efficiency,Home Automation,Smart Buildings,Smart Home,Software",Software service provider that allows users to control their home heating and cooling systems from their smart phones,Germany,Europe & Israel,2014/06/11,2Q14,"$204,000",Series B,"$18,404,000",No,,,,,,,,,,,,,
SolarNow,Solar,Solar,Provider of Solar asset financing services,Netherlands,Europe & Israel,2014/10/13,4Q14,"$2,500,000",Series A,"$2,500,000",No,Novastar Ventures,Acumen Fund,,,,,,,,,,,
Spor,Solar,"Hardware,Solar",Manufacturer of portable solar chargers for electronic devices,United States,North America,2014/09/29,3Q14,"$200,000",Seed,"$312,408",No,Francis Wisnewski,,,,,,,,,,,,
AmigoCloud,Agriculture & Food,"Agriculture & Food,Crops,Precision Agriculture,Software,Telemetry",Provider of GIS data collection and telemetry solutions,United States,North America,2014/03/18,1Q14,"$199,501",Seed,"$946,336",No,Crowdfunder,,,,,,,,,,,,
Solidia Technologies,Advanced Materials,"Advanced Materials,Air,Carbon Capture and Sequestration (CCS),Green Building & Construction,Hardware",Manufacturer of sustainable building materials,United States,North America,2014/12/09,4Q14,,Growth Equity,"$37,000,000",Yes,Lafarge,Total Energy Ventures,Kleiner Perkins Caufield & Byers (KPCB),Bright Capital,BASF Venture Capital,BP Ventures,Bill Joy,,,,,,
WeatherCloud,Transportation,"Internet of Things,Other Cleantech,Services,Software,Transportation",Provider of real time hyper local road weather intelligence,United States,North America,2014/06/25,2Q14,"$175,000",Seed,"$175,000",No,Founder Funding,,,,,,,,,,,,
Zuli,Energy Efficiency,"Cleanweb,Energy Efficiency,Hardware,Home Automation,Internet of Things,Lighting,Smart Buildings,Smart Home,Smart Plugs,Software",Developer of smart phone-enabled home energy and lighting control technology,United States,North America,2014/01/03,1Q14,"$175,000",Seed,"$1,825,000",No,Kickstarter,,,,,,,,,,,,
Oxymem,Water & Wastewater,"Hardware,Wastewater Treatment,Water & Wastewater,Water Technology Vendor","Manufacturer of the Membrane Aerated Biofilm Reactor (MABR), a technology based on bubble-less wastewater aeration system",Ireland,Europe & Israel,2014/05/09,2Q14,"$170,000",Seed,"$1,811,000",No,Kellysan Enterprises,,,,,,,,,,,,
H2Sonics,Other Cleantech,"Hardware,Other Cleantech",Developer of proprietary systems utilizing sonic energy to manufacture hydrogen and aluminum oxide,United States,North America,2014/04/16,2Q14,"$169,350",Series A,"$1,069,350",No,,,,,,,,,,,,,
Niwa,Agriculture & Food,"Agriculture & Food,Crops,Hardware,Hydroponics,Indoor Cultivation Systems,Software",Manufacturer of a smartphone-enabled personal growing system,United States,North America,2014/06/21,2Q14,"$151,000",Seed,"$151,000",No,Kickstarter,,,,,,,,,,,,
Agralogics,Agriculture & Food,"Agriculture & Food,Agriculture Software,Cleanweb,Crops,Software",Provider of big data solutions for precision agriculture,United States,North America,2014/09/02,3Q14,"$150,000",Series A,"$330,000",No,,,,,,,,,,,,,
Cool Flow Dynamics,Energy Efficiency,"Energy Efficiency,Hardware",Developer of efficiency solutions to reduce refrigeration and fuel waste in buildings and vehicles,United States,North America,2014/07/23,3Q14,"$150,000",Seed,"$350,000",No,,,,,,,,,,,,,
Elways,Transportation,"Hardware,Transportation",Developer of systems that allow electric vehicles to charge while driving. ,Sweden,Europe & Israel,2014/05/15,2Q14,"$150,000",Seed,"$950,000",No,The Swedish Transport Administration,,,,,,,,,,,,
Hitch,Transportation,"Services,Software,Transportation",Ride-sharing service that enables users to find rides traveling in the same general direction as the user,United States,North America,2014/03/13,1Q14,"$150,000",Seed,"$150,000",No,Kima Ventures,,,,,,,,,,,,
Sonnenbatterie,Energy Storage,"Batteries,Downstream PV,Electrochemical Storage,Energy Storage,Grid Energy Storage,Hardware,Lithium-Based Batteries,Photovoltaics (PV),Power Grid,Renewables Integration,Software,Solar",Provider of battery systems specifically designed to support distributed solar photovoltaic arrays,Germany,Europe & Israel,2014/12/02,4Q14,"$9,400,000",Series B,"$9,400,000",No,Chrysalix SET,Munich Venture Partners,eCAPITAL Entrepreneurial Partners,,,,,,,,,,
